"Timestamp","Role","Age","Field of Study","Enter your city name","Education Level","Have you used AI-powered learning tools?","If yes, which AI tools have you used?","Which is better for personalised learning? ","How well can AI teach complex subjects?","Challenges of AI Replacing Professors (Select all that apply)","Will AI fully replace professors?","AI should be used as?"
"2025/03/10 3:12:56 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chat gpt ","Both","4","Lack of Emotional Intelligence;Ethical Concerns;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/10 7:18:06 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai","Undergraduate","Yes","Google assistant, chatgpt, meta ,Siri","Both","4","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/10 7:18:56 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt,Deepseek, co-pilot ","Human Professors","3","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/10 7:24:02 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Meta AI","Both","3","Ethical Concerns","Yes","Co-Professor"
"2025/03/10 7:27:29 PM GMT+5:30","Student","Below 18","Medicine & Health","Pudukkottai ","Other","Yes","Chat gpt, ","Human Professors","3","Lack of Emotional Intelligence;Ethical Concerns","No","Teaching Assistant"
"2025/03/10 7:43:37 PM GMT+5:30","Student","Below 18","Science, Technology, Engineering & Math (STEM)","Pudukkottai","Other","No","no","Both","3","Limited Creativity","Yes","Co-Professor"
"2025/03/10 8:43:23 PM GMT+5:30","Student","18-25","Medicine & Health","Karaikudi ","Undergraduate","No","-","Human Professors","2","Limited Creativity","Partially","Co-Professor"
"2025/03/10 8:47:30 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Madurai","Undergraduate","Yes","Chatgpt, meta,","Both","5","Limited Creativity","No","Co-Professor"
"2025/03/10 8:47:47 PM GMT+5:30","Student","18-25","Other","Karaikudi ","Undergraduate","Yes","Chatgpt and deepseek","Both","5","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Co-Professor"
"2025/03/10 8:55:41 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Deepseek","Both","4","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","No","Teaching Assistant"
"2025/03/10 8:56:18 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt and deepseek","Both","5","Lack of Emotional Intelligence;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/10 9:00:13 PM GMT+5:30","Student","Below 18","Business & Management","Yuvan krishna","Other","Yes","Chat gpt","Both","5","Lack of Emotional Intelligence;Ethical Concerns","No","Teaching Assistant"
"2025/03/10 9:26:34 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Kuzhithurai ","Undergraduate","Yes","Chatgpt","Both","4","Limited Creativity","No","Teaching Assistant"
"2025/03/10 10:20:22 PM GMT+5:30","Student","18-25","Medicine & Health","Ponnamaravathi ","Undergraduate","Yes","Meta AI","Both","5","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","No","Co-Professor"
"2025/03/11 7:22:44 AM GMT+5:30","Other","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt","Both","3","Limited Creativity","Partially","Teaching Assistant"
"2025/03/11 7:37:59 AM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Sivaganga","Undergraduate","Yes","Chat GPT ","Both","1","Lack of Emotional Intelligence","Yes","Full Replacement"
"2025/03/11 7:40:26 AM GMT+5:30","Student","18-25","Arts & Humanities","Tindivanam ","Undergraduate","No","Mata Ai","AI","1","Limited Creativity","Yes","Teaching Assistant"
"2025/03/11 7:41:26 AM GMT+5:30","Student","Below 18","Science, Technology, Engineering & Math (STEM)","Pudukkottai","High School","Yes","Chatgpt","Both","3","Lack of Emotional Intelligence;Limited Creativity","No","Teaching Assistant"
"2025/03/11 7:47:13 AM GMT+5:30","Student","Below 18","Science, Technology, Engineering & Math (STEM)","Pudukkottai","High School","Yes","Chatgpt","Both","5","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/11 7:52:45 AM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Trichy ","Undergraduate","Yes","Meta","Both","3","Lack of Emotional Intelligence;Risk of Bias in AI","Partially","Co-Professor"
"2025/03/11 8:45:58 AM GMT+5:30","Other","18-25","Other","Pudukkottai ","Undergraduate","No","No","Both","3","Lack of Emotional Intelligence;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/11 9:06:35 AM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chat Gpt ","Human Professors","3","Lack of Emotional Intelligence","Partially","Teaching Assistant"
"2025/03/11 11:09:50 AM GMT+5:30","Other","18-25","Medicine & Health","Pudukkottai ","Postgraduate","No","No","Both","3","Lack of Emotional Intelligence","Partially","Teaching Assistant"
"2025/03/11 11:16:06 AM GMT+5:30","Student","18-25","Arts & Humanities","Pudukkottai","Undergraduate","No","Meta","Human Professors","2","Lack of Emotional Intelligence","Yes","Teaching Assistant"
"2025/03/11 11:17:31 AM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai","Undergraduate","Yes","Meta","Human Professors","3","Lack of Emotional Intelligence;Ethical Concerns","Yes","Teaching Assistant"
"2025/03/11 11:19:13 AM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Trichy ","Undergraduate","Yes","Chatgpt","Human Professors","5","Ethical Concerns","No","Co-Professor"
"2025/03/11 11:37:12 AM GMT+5:30","Student","Below 18","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","High School","Yes","Chat GPT, COPILOT, GEMINI, and some platforms like Google chrome YouTube ","Both","3","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/11 12:24:14 PM GMT+5:30","Student","18-25","Medicine & Health","Chennai ","Undergraduate","Yes","ChatGPT , Gemini ","AI","3","Lack of Emotional Intelligence;Risk of Bias in AI","No","Teaching Assistant"
"2025/03/11 12:41:02 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai","Undergraduate","Yes","Chatgpt, meta, siri","Both","3","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/11 12:42:47 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt","Human Professors","5","Lack of Emotional Intelligence","No","Teaching Assistant"
"2025/03/11 12:47:00 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukottai ","Undergraduate","Yes","Chatgpt","AI","3","Lack of Emotional Intelligence","Partially","Teaching Assistant"
"2025/03/11 12:48:32 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai","Undergraduate","Yes","Chatgpt","AI","3","Lack of Emotional Intelligence","Yes","Teaching Assistant"
"2025/03/11 12:52:45 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukottai ","Undergraduate","No","No","Human Professors","4","Limited Creativity","Yes","Teaching Assistant"
"2025/03/11 12:52:45 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukottai ","Undergraduate","Yes","Chatgpt ","AI","3","Lack of Emotional Intelligence","Yes","Teaching Assistant"
"2025/03/11 12:55:15 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chat gpt ","AI","4","Lack of Emotional Intelligence","Partially","Teaching Assistant"
"2025/03/11 12:59:59 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt","AI","3","Lack of Emotional Intelligence","Yes","Teaching Assistant"
"2025/03/11 4:37:55 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukottai","Undergraduate","Yes","Yes","Both","5","Lack of Emotional Intelligence","No","Teaching Assistant"
"2025/03/11 5:08:06 PM GMT+5:30","Student","18-25","Other","Ponnamaravathy ","Undergraduate","Yes","Meta, copiolet ","Both","4","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/11 5:10:46 PM GMT+5:30","Student","18-25","Business & Management","Singampunari ","Undergraduate","Yes","Chatgpt ","Human Professors","2","Lack of Emotional Intelligence","No","Not at all"
"2025/03/11 5:14:28 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chat gpt","AI","3","Limited Creativity","Yes","Teaching Assistant"
"2025/03/11 5:14:54 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chat gpt ","AI","1","Limited Creativity","Yes","Teaching Assistant"
"2025/03/11 5:34:55 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Trichy ","Undergraduate","Yes","Chatgpt","Human Professors","4","Lack of Emotional Intelligence","No","Full Replacement"
"2025/03/11 5:59:26 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Sivaganga ","Undergraduate","Yes","Gemini","Both","4","Lack of Emotional Intelligence;Ethical Concerns","Partially","Teaching Assistant"
"2025/03/11 6:01:28 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt, meta, gemini ","Human Professors","1","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","No","Teaching Assistant"
"2025/03/11 6:28:56 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","No","Nill","Both","3","Limited Creativity","Partially","Full Replacement"
"2025/03/11 6:42:45 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Karaikudi ","Undergraduate","Yes","Python idle","AI","3","Ethical Concerns","Yes","Teaching Assistant"
"2025/03/11 6:51:28 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Aranthangi ","High School","No","No","Both","3","Risk of Bias in AI","No","Teaching Assistant"
"2025/03/11 6:59:17 PM GMT+5:30","Student","Below 18","Other","Pudukkottai ","High School","Yes","Chat GPT","Both","3","Lack of Emotional Intelligence;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/11 7:08:49 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Karaikudi ","Undergraduate","No","Virtual teaching ","Human Professors","3","Lack of Emotional Intelligence;Limited Creativity","No","Teaching Assistant"
"2025/03/11 7:15:09 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Karaikudi ","Undergraduate","Yes","Chat gpt ","Human Professors","3","Lack of Emotional Intelligence","No","Teaching Assistant"
"2025/03/11 7:15:17 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","pudukkottai","Undergraduate","Yes","chatgpt","AI","3","Lack of Emotional Intelligence;Ethical Concerns;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/11 7:16:26 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","PUDUKKOTTAI","Undergraduate","Yes","CHAT GPT","AI","3","Lack of Emotional Intelligence;Ethical Concerns;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/11 7:21:53 PM GMT+5:30","Student","Below 18","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","High School","Yes","Chat gpt ","Human Professors","4","Lack of Emotional Intelligence","Partially","Teaching Assistant"
"2025/03/11 7:25:47 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Karaikudi ","Undergraduate","Yes","Meta","AI","5","Ethical Concerns","Partially","Teaching Assistant"
"2025/03/11 7:28:39 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Karaikudi ","Undergraduate","No","AI maker","AI","4","Lack of Emotional Intelligence","No","Co-Professor"
"2025/03/11 7:50:22 PM GMT+5:30","Student","Below 18","Business & Management","Ponnamaravathi ","High School","Yes","Teacher ","Both","5","Limited Creativity","Partially","Not at all"
"2025/03/11 7:52:46 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatbots","AI","5","Lack of Emotional Intelligence","Yes","Full Replacement"
"2025/03/11 7:53:28 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt,black box,meta","Both","5","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/11 7:58:08 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","sathyamangalam","Undergraduate","Yes","Chatgpt, Gemini","Both","2","Lack of Emotional Intelligence;Limited Creativity","No","Teaching Assistant"
"2025/03/11 7:59:08 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatbot, chatgpt etc...","Human Professors","3","Lack of Emotional Intelligence;Ethical Concerns;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/11 8:05:57 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Karaikudi ","Undergraduate","No","No","Human Professors","4","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Not at all"
"2025/03/11 8:15:35 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt, canva","Both","3","Lack of Emotional Intelligence;Risk of Bias in AI","No","Teaching Assistant"
"2025/03/11 8:17:34 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","ChatGPT, BlackBox AI, Gemini, deepseek ,meta ","Both","5","Lack of Emotional Intelligence;Limited Creativity;Risk of Bias in AI","No","Teaching Assistant"
"2025/03/11 8:54:08 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Karaikudi ","Undergraduate","Yes","ChatGPT,  Meta AI, Gemini, Microsoft copilot ","Both","4","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Yes","Teaching Assistant"
"2025/03/11 9:47:23 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","No","Meta Al","Human Professors","4","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Yes","Teaching Assistant"
"2025/03/11 10:52:22 PM GMT+5:30","Student","Below 18","Other","pudukkottai ","High School","Yes","Chat gpt","Both","4","Lack of Emotional Intelligence","No","Teaching Assistant"
"2025/03/12 8:46:19 AM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Trichy","Undergraduate","No","No","Human Professors","3","Limited Creativity","No","Teaching Assistant"
"2025/03/12 5:12:44 PM GMT+5:30","Other","18-25","Science, Technology, Engineering & Math (STEM)","Chennai ","Undergraduate","No","No","Both","3","Limited Creativity","Partially","Teaching Assistant"
"2025/03/12 5:14:35 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","No","Jasper","Both","2","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Yes","Full Replacement"
"2025/03/12 7:11:55 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai","Undergraduate","Yes","Meta ai","Both","4","Lack of Emotional Intelligence;Limited Creativity;Risk of Bias in AI","No","Teaching Assistant"
"2025/03/12 7:12:00 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Thanjavur ","Undergraduate","Yes","ChatGPT ","Both","5","Lack of Emotional Intelligence","No","Teaching Assistant"
"2025/03/12 7:12:15 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","PUDUKKOTTAI ","Undergraduate","Yes","Chat GPT","Both","4","Limited Creativity","No","Teaching Assistant"
"2025/03/12 7:14:47 PM GMT+5:30","Student","18-25","Other","Karaikudi ","Undergraduate","Yes","Chart Gpt ","Both","3","Ethical Concerns;Limited Creativity","Partially","Co-Professor"
"2025/03/12 7:40:46 PM GMT+5:30","Other","18-25","Science, Technology, Engineering & Math (STEM)","Coimbatore","Undergraduate","Yes","Chatgpt","Both","3","Lack of Emotional Intelligence;Ethical Concerns","Partially","Teaching Assistant"
"2025/03/12 7:41:35 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai","Undergraduate","Yes","ChatGPT","Human Professors","3","Limited Creativity","No","Teaching Assistant"
"2025/03/12 7:50:43 PM GMT+5:30","Teacher","26-35","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Postgraduate","Yes","Notetaker,canva, grammarly","Human Professors","5","Lack of Emotional Intelligence;Ethical Concerns;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/12 8:14:30 PM GMT+5:30","Student","18-25","Other","Coimbatore ","Undergraduate","Yes","Chatgpt, google ","Both","3","Lack of Emotional Intelligence","No","Teaching Assistant"
"2025/03/12 9:25:58 PM GMT+5:30","Teacher","36-50","Science, Technology, Engineering & Math (STEM)","Pudukkottai","Postgraduate","Yes","ChatGPT, Gemini, Gamma.ai, humanizeAI, Rewrite tool","Both","5","Lack of Emotional Intelligence;Ethical Concerns;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/14 7:41:09 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt ","Both","4","Limited Creativity","Partially","Teaching Assistant"
"2025/03/16 2:05:21 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai","High School","Yes","ChatGPT, Meta AI , Copilot","Both","5","Lack of Emotional Intelligence;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/16 2:06:22 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Merlin ai , ai image video automation ","Human Professors","1","Lack of Emotional Intelligence;Ethical Concerns","Partially","Not at all"
"2025/03/16 2:17:21 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Devakottai ","Undergraduate","Yes","Chatgpt ","Both","3","Lack of Emotional Intelligence;Ethical Concerns;Risk of Bias in AI","Partially","Co-Professor"
"2025/03/16 2:17:39 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Karaikudi ","Undergraduate","Yes","Chatgpt, Gemini","Both","3","Lack of Emotional Intelligence;Limited Creativity","Partially","Not at all"
"2025/03/16 2:24:12 PM GMT+5:30","Other","36-50","Science, Technology, Engineering & Math (STEM)","Chennai ","Undergraduate","Yes","ChatGPT","Both","1","Lack of Emotional Intelligence;Ethical Concerns","No","Teaching Assistant"
"2025/03/16 2:27:51 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chat gpt,meta ai, Gemini","Both","5","Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/16 2:29:50 PM GMT+5:30","Teacher","36-50","Science, Technology, Engineering & Math (STEM)","Pudukkottai","Postgraduate","Yes","ChatGpt, Ms Copilot","Both","4","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","No","Teaching Assistant"
"2025/03/16 2:30:21 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Karaikudi","Undergraduate","Yes","Chatgpt, grammerly, meta AI,","Both","3","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/16 2:32:42 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","PUDUKKOTTAI","Undergraduate","No","No used","Both","5","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/16 2:41:00 PM GMT+5:30","Other","36-50","Science, Technology, Engineering & Math (STEM)","Sugantha Priya","Undergraduate","Yes","Chat Gpt","Both","5","Lack of Emotional Intelligence","Partially","Teaching Assistant"
"2025/03/16 2:48:27 PM GMT+5:30","Teacher","36-50","Science, Technology, Engineering & Math (STEM)","Thiruppattur ","Postgraduate","Yes","Chat gpt, Humanize AI, Quillbot, Diagram","Both","5","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/16 2:48:54 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Devakottai ","Undergraduate","Yes","Gemini, chatbot,canva ","Human Professors","3","Lack of Emotional Intelligence","No","Co-Professor"
"2025/03/16 3:35:59 PM GMT+5:30","Student","18-25","Other","Delhi","High School","No","No","Human Professors","3","Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/16 4:11:37 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Karaikudi ","Undergraduate","Yes","Chatgpt ","Both","4","Lack of Emotional Intelligence","Partially","Teaching Assistant"
"2025/03/16 4:30:46 PM GMT+5:30","Other","26-35","Science, Technology, Engineering & Math (STEM)","Chennai, India","Postgraduate","Yes","ChatGPT","Both","3","Lack of Emotional Intelligence;Limited Creativity","Partially","Teaching Assistant"
"2025/03/16 4:47:06 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Karaikudi ","Undergraduate","No","No","AI","5","Limited Creativity","No","Teaching Assistant"
"2025/03/16 7:11:57 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","No","Nil","Both","4","Limited Creativity","Partially","Teaching Assistant"
"2025/03/17 1:40:44 AM GMT+5:30","Other","36-50","Science, Technology, Engineering & Math (STEM)","Chennai ","Undergraduate","No","No","Human Professors","1","Lack of Emotional Intelligence;Risk of Bias in AI","No","Teaching Assistant"
"2025/03/17 5:13:48 AM GMT+5:30","Student","Below 18","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt","Both","2","Lack of Emotional Intelligence;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/21 8:00:17 PM GMT+5:30","Student","18-25","Other","Karaikudi ","Undergraduate","Yes","Power BI","Human Professors","4","Lack of Emotional Intelligence","No","Co-Professor"
"2025/04/21 7:55:52 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt ","Both","4","Lack of Emotional Intelligence;Limited Creativity","Partially","Teaching Assistant"